hour; S1 (kVA); S2 (kVA); S3 (kVA)
1;712.325;647.362;854.027
2;722.792;642.367;852.717
3;707.035;628.158;851.933
4;691.174;619.488;842.949
5;709.623; 632.67;841.298
6;703.902;620.954; 829.67
7;800.135;637.004;874.121
8; 936.76;675.474;983.688
9;991.925;713.975; 1084.83
10;957.586;686.792; 1067.77
11;975.929;677.289; 1047.57
12; 871.7;631.181;970.747
13;905.483; 642.29; 1016.95
14;951.307;679.573; 1047.8
15; 1086.96;705.258; 1025.57
16; 1096.56;726.399; 1060.49
17; 1114.49;737.197; 1090.62
18;599.628;323.421;480.515
19;510.293; 285.16;423.844
20;483.006;279.505;391.931
21;785.687; 621.64;905.617
22;796.154;679.291;993.461
23;789.466;714.369; 1067.09
24;745.418;649.935; 1001.4
